昵称,性别,时间,点赞量,评论,IP属地,二级评论条数,等级,uid,rpid
豌豆的灾厄魔盒,男,2023-05-22 10:57:42 北京时间,143,"我已经想到怎么“拯救”镜流了。,崩铁里有一位特殊的星神，有着所有记忆的【记忆】浮黎。,只要开拓者接触到浮黎的命途，借助星核的力量，调出镜流的记忆，再用种星槎的技术，种出镜流的身体，把记忆和身体融合，那么，一个完好的，不会堕入魔阴身的镜流就出来。,不光罗浮有着技术，黑塔空间站也有克隆人技术，不过那个技术还不太成熟。",河南,8,6,13849746,166453510048
TangXbili,保密,2023-05-21 12:58:17 北京时间,21,堕入魔阴者，六尘颠倒，人伦尽丧，回去吧景元，镜流已逝,上海,0,6,159617781,166317647936
璎落终离,保密,2023-05-22 05:52:14 北京时间,21,"景元,抬起头,继续前进吧,去把这个不完美的故事,变成你所希望的样子！",山东,0,6,10761195,166416594496
_-Selene-_,女,2023-05-21 15:13:49 北京时间,24,呜呜呜我的景流[保卫萝卜_哭哭][保卫萝卜_哭哭][保卫萝卜_哭哭],上海,5,5,1294966983,166342019744
愿神之爱长存你我,男,2023-05-21 12:55:59 北京时间,66,这周年庆的作品怎么先拿上来了？,山东,1,5,490080685,166317292800
爱吃白萝卜的胡萝卜,女,2023-05-21 13:02:46 北京时间,19,将军从小就爱红秋裤[脱单doge],江苏,0,5,1739856012,166318436896
是羽落落哇,女,2023-05-23 05:19:33 北京时间,20,不懂将军魅力的人有难了[tv_害羞],江苏,5,6,197614611,166558648128
我们正在蒸蒸日上呀,保密,2023-07-26 09:28:47 北京时间,18,看完1.2发现暗猫角色手书做早了，缺了云上五骁景元他的真的经历太多离别了，可以景元池子歪了[脱单doge],山东,0,5,452303009,177173804384
左拥魈宝右抱万叶,女,2023-05-21 16:01:36 北京时间,57,镜流要进池子的，倒是让我好奇要咋复活了，毕竟有很多变成魔阴身的云骑都救不回来了。（插个题外话，救命，真的好喜欢景元，官方那个动态光锥的视频我天天舔屏，爱死，魂穿将军手上的小麻雀[tv_色][tv_色][tv_色]）,云南,5,5,272503735,166350237616
黎明拾忆,保密,2023-05-21 13:08:37 北京时间,18,她教我研习剑技，却始终未能与我亲近一些。但无边的夜色中，哪有比始终当空的明月，更亲近人的存在呢,湖北,1,5,402525737,166319380752
林易子啊,保密,2023-05-21 12:53:29 北京时间,73,啊？,湖北,3,5,629852057,166316831968
黎明拾忆,保密,2023-05-21 12:58:31 北京时间,24,白毛＋红裤，原神的万叶和崩铁的景元，都是我的xp[星星眼][星星眼][星星眼][星星眼][星星眼],湖北,0,5,402525737,166317591440
ElysiaElfy,保密,2023-05-21 12:56:38 北京时间,16,00:22 要不要这么美？！,浙江,0,6,502250031,166317327328
想要假期变长,男,2023-05-21 12:55:46 北京时间,21,景元对我来说就像原神的钟离，感情在哪，当时开服攒了18000➕30抽一点没动等景元，虽然150抽大保底才出来，而且出来风评就说垃圾不如希儿，但我不后悔，我现在在肝宝箱给景元抽0+1不够就氪一点，我会一直坚定喜欢景元的心,辽宁,4,6,240858735,166317280688
云崩坏星穹铁道,男,2023-05-21 15:20:05 北京时间,51,那天我学会了最强的一招，我兴奋的跑去找师傅，师傅很开心，可笑容中也有些许伤感，现在我明白了，那是师傅自己选的末路，是长生种无法逃离的宿命，或许有一天这个轮回会消失吧,湖南,1,6,321776834,166343201168
-拨雪寻春-,保密,2024-01-23 14:03:02 北京时间,6,聪明的景厨已经在截图了，意气风发的小元云骑真是让人眼前一亮，亲亲漂亮宝贝（*＾3＾）/～☆,河南,0,5,101959476,204526091040
和泉一织的男朋友,保密,2023-05-21 14:51:37 北京时间,48,期待米哈游补全云上五骁的故事，然后暗猫也弄一个高质量手书吧！感觉这五个人的故事一定很精彩！,云南,1,6,6069922,166337579744
